""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"CD26-3"	75025	68570	67257	63600	63600
"CD26-4"	20269	12905	10790	10182	10182
"CD26"	8783	2248	2140	2105	2105
"CD26-6"	13001	7474	6076	5866	5866
"CD27-1"	64982	59746	58649	55939	55939
"CD27-2"	7037	3671	3166	3039	3039
"CD27-3"	8749	2833	2738	2674	2674
"CD27-4"	16471	13932	13319	13103	13103
"CD27"	3509	739	682	644	644
"CD27-6"	27703	23601	22791	22540	22540
"CD27-7"	36893	32914	32193	31885	31885
"CD28-1"	26708	22225	21292	20750	20750
"CD28-3"	19485	11263	10021	9795	9795
"CD28"	8006	4896	3821	3650	3650
"CD28-6"	98477	93956	93200	89172	89172
"CD28-7"	105940	98929	98439	94040	94040
"CD29-1"	70059	64938	62849	55635	55635
"CD29-3"	39536	35588	34990	33156	33156
"CD29-4"	12413	6192	5224	4973	4973
"CD29"	32533	27250	26563	26274	26274
"CD29-6"	59000	53190	52910	51804	51804
"CD29-7"	12742	5585	5433	5207	5207
"CD30-1"	25338	21922	20806	20033	20033
"CD30-2"	68480	66639	66336	64636	64636
"CD30-3"	18751	14751	14047	13581	13581
"CD30"	4952	1180	1107	1072	1072
"CD30-6"	97666	92298	91636	88846	88846
"CD30-7"	84072	81296	80608	76013	76013
"CD31-1"	48035	42110	40844	39608	39608
"CD31-2"	12000	8286	6939	6863	6863
"CD31-3"	13273	7937	6944	6781	6781
"CD31-4"	16491	11978	11158	10656	10656
"CD31"	5886	1862	1716	1635	1635
"CD31-6"	8644	3635	3533	3410	3410
"CD31-7"	702	306	229	228	228
"CD33"	6932	2871	2219	2123	2123
"CD34"	5594	5117	4653	4468	4468
"CD35"	9608	4929	3983	3832	3832
"MD77-2"	16132	12198	11572	11155	11155
"MD77-5"	46555	42359	41723	40785	40785
"MD79-1"	15084	14020	13782	13624	13624
"MD79-HD"	5718	1299	1218	1210	1210
"MD80-2"	118099	114212	113961	111968	111968
"MD80-4"	34406	32310	32124	31793	31793
"MD81-HD"	3570	1800	1710	1611	1611
"MD82-3"	39663	36415	36250	33791	33791
"MD82-HD"	11428	9657	9613	9481	9481
"MD82-L"	8709	6396	6223	6166	6166
"MD83-5"	31687	26546	25998	25668	25668
"MD83-HD"	1392	467	435	415	415
"MD84-HD"	3376	1371	1277	1218	1218
"MD85-4"	82421	79864	79485	78340	78340
"MD85-5"	72909	68414	67958	66155	66155
"MD85-HD"	4671	1154	1005	998	998
"MD88"	2873	969	889	838	838
"MD89"	2847	480	427	382	382
"MD90"	2669	871	728	683	683
"MD91"	3808	885	346	325	325
"MD92"	2414	327	257	214	214
